ia,3,Parental consent is require for minors seeking abotions.
ia,4,Only physicians can provide abortions.
id,0,Patients must attend counseling 24 hours before obtaining an abortion.
id,1,Medicaid coverage of abortion is banned with very little exceptions.
id,2,Private health coverage of abortion is banned with very little exceptions.
id,3,Parental consent is require for minors seeking abotions.
id,4,Only physicians can provide abortions.
il,0,Abortions are covered by state Medicaid funds.
il,1,Abortions must be covered by private health insurance.
il,2,All qualified health care professionals can perform abortions.
il,3,Abortion providers are protected by a shield law.
il,4,Laws protect data privacy for patients seeking reproductive health care.
in,0,Patients must attend in-person counseling 18 hours before obtaining an abortion.
in,1,Medicaid coverage of abortion is banned with very little exceptions.
in,2,Private health coverage of abortion is banned with very little exceptions.
in,3,Patients must obtain medication abortion in person.
in,4,Parental consent is require for minors seeking abotions.
ks,0,Medicaid coverage of abortion is banned with very little exceptions.
ks,1,Private health coverage of abortion is banned with very little exceptions.
ks,2,Parental consent is require for minors seeking abotions.
ks,3,Only physicians can provide abortions.
ks,4,Individual providers may refuse to perform abortions.
ky,0,Patients must attend in-person counseling 24 hours before obtaining an abortion.
ky,1,Patients must get an ultrasound even if it is medically unnecessary.
ky,2,Medicaid coverage of abortion is banned with very little exceptions.
ky,3,Private health coverage of abortion is banned with very little exceptions.
ky,4,Patients must obtain medication abortion in person.
la,0,Abortion rights are explicitly excluded in the state constitution.
la,1,Patients must attend in-person counseling 24 hours before obtaining an abortion.
la,2,Patients must get an ultrasound even if it is medically unnecessary.
la,3,Medicaid coverage of abortion is banned with very little exceptions.
la,4,Patients must obtain medication abortion in person.
ma,0,Parental notificiation is require for minors seeking abotions.
ma,1,Abortions are covered by state Medicaid funds.
ma,2,Abortions must be covered by private health insurance.
ma,3,All qualified health care professionals can perform abortions.
ma,4,Abortion providers are protected by a shield law.
md,0,Parental notificiation is require for minors seeking abotions.
md,1,Abortion clinics face unnecessary regulations without basis in medical standards.
md,2,Abortions are covered by state Medicaid funds.
md,3,Abortions must be covered by private health insurance.
md,4,All qualified health care professionals can perform abortions.
me,0,Abortions are covered by state Medicaid funds.
me,1,Abortions must be covered by private health insurance.
me,2,All qualified health care professionals can perform abortions.
me,3,Abortion providers are protected by a shield law.
me,4,Individual providers may refuse to perform abortions.
mi,0,NAME is a 17-year-old girl in Michigan.
mi,1,"She has been in the foster system since she was 3 and has been bounced around to 4 maybe 5 families. So, the idea of “love” — it’s pretty confusing."
mi,2,But her boyfriend makes her feel like she has a home. They’ve had sex a few times.
mi,3,"Her high school doesn’t mandate sex ed, so she’s picked up what she does know from friends and the internet. She’s been told that you should only have sex when you’re married and when you’re ready to start a family, but like “love,” “family” is hard to imagine for NAME."
mi,4,"Right after school starts for her senior year, NAME notices that she hasn’t gotten her period. She tries to stay calm, but a week and two positive pregnancy tests later, she starts to panic. NAME and her boyfriend decide that getting an abortion is their best option."
mi,5,"They make an appointment at the nearest clinic. While filling out all the paperwork, they realize they’re missing one important piece under Michigan law: parental consent. NAME hasn’t seen or heard from her parents in 14 years. How’s she supposed to get their consent?"
mi,6,"NAME files a petition for a judicial waiver of the parental consent requirement. The judge rejects her first petition saying she “lacked sufficient maturity” and that the “waiver was not in her best interest.” NAME files an appeal, and it is granted."
mi,7,"The next day NAME and her boyfriend return to the clinic. He holds her hand and cries with her. They know they are doing the right thing, but Michigan’s abortion maze doesn’t make it any easier."
mn,0,Abortions are covered by state Medicaid funds.
mn,1,All qualified health care professionals can perform abortions.
mn,2,Abortion providers are protected by a shield law.
mn,3,Individual providers may refuse to perform abortions.
mn,4,Private institutions may refuse to perform abortions.
mo,0,Patients must attend in-person counseling 72 hours before obtaining an abortion.
mo,1,Medicaid coverage of abortion is banned with very little exceptions.
mo,2,Private health coverage of abortion is banned with very little exceptions.
mo,3,Patients must obtain medication abortion in person.
mo,4,Parental consent is require for minors seeking abotions.
ms,0,Patients must attend in-person counseling 24 hours before obtaining an abortion.
ms,1,Patients must get an ultrasound even if it is medically unnecessary.
ms,2,Medicaid coverage of abortion is banned with very little exceptions.
ms,3,Patients must obtain medication abortion in person.
ms,4,Parental consent is require for minors seeking abotions.
mt,0,Parental notificiation is require for minors seeking abotions.
mt,1,Abortions are covered by state Medicaid funds.
mt,2,All qualified health care professionals can perform abortions.
mt,3,Individual providers may refuse to perform abortions.
mt,4,Private institutions may refuse to perform abortions.
nc,0,Patients must attend in-person counseling 72 hours before obtaining an abortion.
nc,1,Medicaid coverage of abortion is banned with very little exceptions.
nc,2,Parental consent is require for minors seeking abotions.
nc,3,All qualified health care professionals can perform abortions.
nc,4,Abortion clinics face unnecessary regulations without basis in medical standards.
nd,0,Patients must attend counseling 24 hours before obtaining an abortion.
nd,1,Medicaid coverage of abortion is banned with very little exceptions.
nd,2,Private health coverage of abortion is banned with very little exceptions.
nd,3,Patients must obtain medication abortion in person.
nd,4,Parental consent is require for minors seeking abotions.
ne,0,Patients must attend counseling 24 hours before obtaining an abortion.
ne,1,Medicaid coverage of abortion is banned with very little exceptions.
ne,2,Private health coverage of abortion is banned with very little exceptions.
ne,3,Patients must obtain medication abortion in person.
ne,4,Parental consent is require for minors seeking abotions.
nh,0,Medicaid coverage of abortion is banned with very little exceptions.
nh,1,Parental notificiation is require for minors seeking abotions.
nh,2,All qualified health care professionals can perform abortions.
nh,3,Family planning funds are barred from going to abortion providers.
nh,4,Pharmacists may dispense emergency contraception.
nj,0,Abortions are covered by state Medicaid funds.
nj,1,Abortions must be covered by private health insurance.
nj,2,All qualified health care professionals can perform abortions.
nj,3,Abortion providers are protected by a shield law.
nj,4,Individual providers may refuse to perform abortions.
nm,0,Abortions are covered by state Medicaid funds.
nm,1,All qualified health care professionals can perform abortions.
nm,2,Abortion providers are protected by a shield law.
nm,3,Individual providers may refuse to perform abortions.
nm,4,Institutions may refuse to perform abortions.
nv,0,Only physicians can provide abortions.
nv,1,Abortion providers are protected by a shield law.
nv,2,Individual providers may refuse to perform abortions.
nv,3,Private institutions may refuse to perform abortions.
nv,4,Laws prohibit obstructing access to abortion clinics.
ny,0,Abortions are covered by state Medicaid funds.
ny,1,Abortions must be covered by private health insurance.
ny,2,All qualified health care professionals can perform abortions.
ny,3,State fund helps patients pay for abortion care.
ny,4,Abortion providers are protected by a shield law.
oh,0,NAME is a 9-year-old girl in Ohio.
oh,1,She likes singing along to pop music and making beaded friendship bracelets with the sisters that live down the street.
oh,2,"She lives with her mom and her mom’s live in boyfriend. Her mom is nice and funny, but the boyfriend makes NAME do things she doesn’t like to do."
oh,3,"The first time this happened, she was scared so she didn’t tell anyone. After the second time, NAME started to feel funny, so she confided in her mom. Her mom gave her a name for what had happened: rape."
oh,4,"NAME was just over 6 weeks pregnant. She needed an abortion. But her home state, Ohio, banned them after 6 weeks with no exceptions for rape so they were forced to drive out of state."
oh,5,"It was all very scary for NAME. The procedure was painful, but everyone told her she was brave — even her mom, who’s eyes were wet with sadness."
oh,6,"The doctor that performed her abortion, shared NAME’s story anonymously and soon it was all over the news. The doctor was under investigation too. Her mom’s old boyfriend was sentenced to jail."
oh,7,"NAME couldn’t help but think all of this was her fault. But, it wasn’t. Not the rape. Not the abortion. Not Ohio’s abortion maze that she had to find a way through."
ok,0,Patients must attend counseling 72 hours before obtaining an abortion.
ok,1,Medicaid coverage of abortion is banned with very little exceptions.
ok,2,Private health coverage of abortion is banned with very little exceptions.
ok,3,Patients must obtain medication abortion in person.
ok,4,Parental consent is require for minors seeking abotions.
or,0,Abortion rights are explicitly protected in the state constitution.
or,1,Abortions are covered by state Medicaid funds.
or,2,Abortions must be covered by private health insurance.
or,3,All qualified health care professionals can perform abortions.
or,4,State fund helps patients pay for abortion care.
pa,0,Patients must attend counseling 24 hours before obtaining an abortion.
pa,1,Medicaid coverage of abortion is banned with very little exceptions.
pa,2,Parental consent is require for minors seeking abotions.
pa,3,Only physicians can provide abortions.
pa,4,Abortion clinics face unnecessary regulations without basis in medical standards.
ri,0,Abortions are covered by state Medicaid funds.
ri,1,Parental consent is require for minors seeking abotions.
ri,2,Abortion clinics face unnecessary regulations without basis in medical standards.
ri,3,All qualified health care professionals can perform abortions.
ri,4,Abortion providers are protected by a shield law.
sc,0,Patients must attend counseling 24 hours before obtaining an abortion.
sc,1,Patients must get an ultrasound even if it is medically unnecessary.
sc,2,Medicaid coverage of abortion is banned with very little exceptions.
sc,3,Patients must obtain medication abortion in person.
sc,4,Parental consent is require for minors seeking abotions.
sd,0,Patients must attend in-person counseling 72 hours before obtaining an abortion.
sd,1,Medicaid coverage of abortion is banned with very little exceptions.
sd,2,Patients must obtain medication abortion in person.
sd,3,Parental notificiation is require for minors seeking abotions.
sd,4,Only physicians can provide abortions.
tn,0,NAME is a 32-year-old mother of four in Tennessee.
tn,1,"Five months after the birth of her 3rd child, she was shocked to learn she was pregnant again despite taking birth control."
tn,2,Her 8-month ultrasound showed that the embryo had become implanted in scar tissue from her recent cesarean section — an ectopic pregnancy. Her life was at risk.
tn,3,"But in just hours, the state of Tennessee would ban abortion following the Supreme Court’s Dobbs ruling.  There was no exception in case of risk to the mother's life, and anyone who performed an abortion could be charged with a felony."
tn,4,"NAME thought about traveling out of state for an abortion, but it was costly and she had other children to care for, plus other states had waiting period restrictions. So, she waited."
tn,5,At 26 weeks she started bleeding and was rushed to the hospital. NAME had an emergency C-section where doctors pulled about a baby girl. They weren’t sure if either the baby or NAME would survive.
tn,6,"At first, the baby girl had trouble breathing on her own — her lungs weren’t fully developed. NAME had a giant vertical gash that ran the length of her abdomen. There was so much damage, she would never have another child."
tn,7,"After spending close to 2 months in the hospital, NAME took the baby girl home. They had made it through Tennessee’s abortion maze, but not without lasting scars."
tx,0,NAME is a 38-year-old lawyer in Texas.
tx,1,"She never pictured herself having children, and when she finds herself pregnant, that just reaffirms her position. She wanted an abortion."
tx,2,"NAME felt that trying to get pills through the mail was unnecessarily difficult and uncertain, especially with all of the lawsuits swirling in her home state. But Mexico was close."
tx,3,"She didn’t tell any of her family because she didn’t think they would approve. NAME just picked a long weekend and started driving. It took her about 5 hours, including the delay at border crossing, to get to her destination."
tx,4,"NAME had read up on “medical tourism” — where people cross the border for cheaper prescriptions and cheaper medical and dental care — and she knew where to go, a supermarket with a big pharmacy in the center."
tx,5,She scrambled together a string of Spanish and asked the pharmacist for the medication. No questions asked. $25. And that was it.
tx,6,"While at the market, NAME bought everything she would need for the next two days. Then she checked into her hotel. She was nervous only following instructions she found online, and nervous to be doing it alone, but she popped the pill under her tongue."
tx,7,"The cramping and bleeding started about 4 hours later. NAME thought “unpleasant” was an understatement when describing it, but she felt so lucky to have the money and the ability to do this. The Texas abortion maze just made everything harder."
ut,0,Patients must attend counseling 72 hours before obtaining an abortion.
ut,1,Medicaid coverage of abortion is banned with very little exceptions.
ut,2,Private health coverage of abortion is banned with very little exceptions.
ut,3,Patients must obtain medication abortion in person.
ut,4,Parental consent is require for minors seeking abotions.
va,0,Medicaid coverage of abortion is banned with very little exceptions.
va,1,Parental consent is require for minors seeking abotions.
va,2,All qualified health care professionals can perform abortions.
va,3,Individual providers may refuse to perform abortions.
va,4,Institutions may refuse to perform abortions.
vt,0,Abortion rights are explicitly protected in the state constitution.
vt,1,Abortions are covered by state Medicaid funds.
vt,2,Abortions must be covered by private health insurance.
vt,3,All qualified health care professionals can perform abortions.
vt,4,Abortion providers are protected by a shield law.
wa,0,Abortions are covered by state Medicaid funds.
wa,1,Abortions must be covered by private health insurance.
wa,2,All qualified health care professionals can perform abortions.
wa,3,Abortion providers are protected by a shield law.
wa,4,Laws protect data privacy for patients seeking reproductive health care.
wi,0,Patients must attend in-person counseling 24 hours before obtaining an abortion.
wi,1,Patients must get an ultrasound even if it is medically unnecessary.
wi,2,Medicaid coverage of abortion is banned with very little exceptions.
wi,3,Patients must obtain medication abortion in person.
wi,4,Parental consent is require for minors seeking abotions.
wv,0,Abortion rights are explicitly excluded in the state constitution.
wv,1,Patients must attend counseling 24 hours before obtaining an abortion.
wv,2,Medicaid coverage of abortion is banned with very little exceptions.
wv,3,Patients must obtain medication abortion in person.
wv,4,Parental notificiation is require for minors seeking abotions.
wy,0,Medicaid coverage of abortion is banned with very little exceptions.
wy,1,Parental consent is require for minors seeking abotions.
wy,2,Only physicians can provide abortions.
wy,3,Individual providers may refuse to perform abortions.
wy,4,Private institutions may refuse to perform abortions.
